symbol,value
™,0
™,1
–,2
’,3
ˆ,4
˜,5
‚,6
™,7
„,8
™,9
•,10
‰,11
Š,12
“,13
Š,14
Œ,15
‘,16
›,17
€,18
Ž,19
…,20
Œ,21
Š,22
Ž,23
™,24
ƒ,25
†,26
‹,27
†,28
‘,29
†,30
’,31
ˆ,32
Ž,33
Š,34
“,35
‹,36
“,37
’,38
›,39
‚,40
‘,41
ž,42
–,43
˜,44
‘,45
•,46
š,47
‚,48
ˆ,49
š,50
œ,51
…,52
™,53
‡,54
‹,55
Š,56
—,57
›,58
€,59
’,60
›,61
˜,62
™,63
‹,64
“,65
š,66
Œ,67
…,68
„,69
†,70
Š,71
™,72
–,73
•,74
Ÿ,75
’,76
–,77
‡,78
›,79
Š,80
œ,81
‚,82
‘,83
˜,84
•,85
†,86
ž,87
’,88
Ž,89
”,90
•,91
‹,92
„,93
Ž,94
€,95
‰,96
”,97
‚,98
”,99
™,100
Ž,101
…,102
ž,103
‰,104
–,105
•,106
™,107
‹,108
‹,109
Ž,110
€,111
—,112
€,113
‚,114
‘,115
š,116
’,117
Œ,118
š,119
†,120
’,121
„,122
Œ,123
‡,124
‡,125
„,126
ž,127
•,128
™,129
‘,130
‘,131
“,132
›,133
›,134
—,135
‘,136
”,137
†,138
…,139
–,140
œ,141
Š,142
˜,143
Œ,144
‘,145
Ž,146
…,147
…,148
†,149
†,150
Ž,151
†,152
ž,153
Œ,154
ˆ,155
”,156
‡,157
˜,158
‚,159
‡,160
‡,161
ƒ,162
“,163
œ,164
‹,165
Œ,166
ˆ,167
–,168
ƒ,169
—,170
“,171
“,172
†,173
Ž,174
Ÿ,175
–,176
Ÿ,177
•,178
“,179
…,180
—,181
‚,182
˜,183
Š,184
‡,185
ƒ,186
•,187
ˆ,188
›,189
ƒ,190
”,191
•,192
ƒ,193
ˆ,194
‡,195
–,196
’,197
•,198
‚,199
—,200
™,201
„,202
‚,203
„,204
˜,205
–,206
‡,207
…,208
™,209
„,210
œ,211
…,212
Ž,213
”,214
’,215
Ž,216
–,217
Ÿ,218
˜,219
’,220
‰,221
ž,222
“,223
†,224
Š,225
œ,226
—,227
‚,228
†,229
˜,230
ž,231
—,232
Ÿ,233
‰,234
Ž,235
‡,236
Œ,237
’,238
…,239
—,240
‚,241
†,242
‰,243
Š,244
–,245
‰,246
Ž,247
€,248
ˆ,249
•,250
Ž,251
ž,252
ƒ,253
ˆ,254
•,255
‹,256
€,257
š,258
“,259
ž,260
Ÿ,261
‰,262
Š,263
‘,264
–,265
ž,266
Š,267
Ÿ,268
“,269
Œ,270
„,271
’,272
‰,273
Š,274
™,275
˜,276
„,277
ˆ,278
”,279
•,280
•,281
ˆ,282
…,283
’,284
‡,285
‡,286
—,287
š,288
„,289
”,290
‡,291
ˆ,292
‡,293
„,294
–,295
Ÿ,296
‡,297
ž,298
‘,299
ž,300
—,301
…,302
†,303
”,304
”,305
„,306
“,307
œ,308
’,309
“,310
•,311
Ÿ,312
•,313
Š,314
œ,315
’,316
‘,317
‡,318
›,319
—,320
”,321
‹,322
‡,323
Œ,324
‹,325
•,326
š,327
ƒ,328
œ,329
ƒ,330
ˆ,331
š,332
’,333
™,334
‚,335
”,336
’,337
‹,338
‡,339
ƒ,340
‡,341
•,342
„,343
‹,344
˜,345
ˆ,346
Œ,347
Ÿ,348
Š,349
”,350
‚,351
›,352
ƒ,353
›,354
˜,355
„,356
ž,357
€,358
™,359
—,360
™,361
Š,362
•,363
™,364
‡,365
‚,366
•,367
Ÿ,368
›,369
„,370
’,371
›,372
Ÿ,373
‰,374
‚,375
…,376
Š,377
‚,378
‹,379
—,380
€,381
†,382
Ÿ,383
Š,384
ƒ,385
›,386
‘,387
š,388
œ,389
’,390
ž,391
•,392
˜,393
‹,394
Ž,395
€,396
ž,397
’,398
š,399
•,400
Š,401
›,402
‚,403
‚,404
Ž,405
”,406
‹,407
ˆ,408
’,409
”,410
”,411
ƒ,412
™,413
‹,414
‹,415
Ÿ,416
š,417
˜,418
‘,419
‡,420
†,421
‡,422
Œ,423
˜,424
Ž,425
€,426
€,427
˜,428
‡,429
“,430
”,431
™,432
–,433
‰,434
š,435
“,436
—,437
Š,438
ƒ,439
ƒ,440
‘,441
ˆ,442
ˆ,443
—,444
š,445
›,446
‰,447
‘,448
›,449
‡,450
‹,451
‘,452
Ÿ,453
ƒ,454
‡,455
Œ,456
‹,457
•,458
“,459
‹,460
ƒ,461
‡,462
’,463
Š,464
‘,465
‹,466
™,467
š,468
„,469
™,470
Š,471
‘,472
‡,473
Š,474
†,475
‚,476
„,477
‹,478
™,479
€,480
„,481
†,482
Ž,483
‹,484
ž,485
ž,486
™,487
‰,488
œ,489
›,490
–,491
‹,492
Ž,493
“,494
‡,495
“,496
‡,497
ƒ,498
‡,499
